ship_mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Total,Quantity,Discount,Profit,Rating,Time
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,56.45,5,0,14.677,4.3,20:05
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,94.2,6,0,23.55,4.6,14:03
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Envelopes,28.4,5,0,13.348,5.8,11:09
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976,8.3,11:04
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Accessories,1115.91,9,0,200.8638,8,14:29
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,128.744,7,0.2,-28.9674,9.4,14:32
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,79.92,10,0.2,26.973,6.2,19:59
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,24.2,5,0,7.986,9.8,11:44
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,359.976,3,0.2,130.4913,9.6,20:15
First Class,Home Office,United States,San Francisco,California,94122,West,Furniture,Furnishings,211.84,8,0,76.2624,4.9,13:51
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,5.68,2,0.2,1.917,8,11:34
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Binders,7.52,5,0.2,2.632,7.8,16:47
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,11.96,2,0,5.8604,4.1,20:13
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Tables,629.064,3,0.2,31.4532,5.5,15:03
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,754.45,5,0,60.356,5.4,10:53
Standard Class,Home Office,United States,Holyoke,Massachusetts,1040,East,Furniture,Bookcases,301.96,2,0,60.392,5.1,14:05
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,595,5,0,95.2,6.9,12:08
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Binders,79.872,3,0.2,29.952,7.8,15:13
Standard Class,Corporate,United States,Sparks,Nevada,89431,West,Technology,Machines,2396.4,10,0.2,179.73,6.6,19:27
Standard Class,Corporate,United States,Coachella,California,92236,West,Office Supplies,Storage,63.56,2,0,3.178,9.2,13:19
Standard Class,Corporate,United States,Coachella,California,92236,West,Technology,Accessories,99.99,1,0,43.9956,7.8,20:35
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,8.7,19:05
Standard Class,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Paper,9.664,2,0.2,3.2616,9.2,14:32
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Technology,Accessories,158.928,7,0.2,41.7186,8.3,12:25
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Binders,13.023,1,0.7,-10.4184,8.2,19:48
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Furniture,Tables,273.06,2,0.4,-104.673,7.5,18:23
Standard Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Fasteners,39.312,13,0.2,12.7764,9.8,16:57
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,1.344,4,0.8,-2.1504,8.7,15:03
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Binders,8.272,4,0.8,-13.6488,6.7,18:32
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,12.544,7,0.6,-9.0944,5,9:45
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Labels,58.48,8,0,27.4856,7,19:57
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,Furnishings,7.4,2,0,3.034,8.9,11:49
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,366.786,7,0.1,65.2064,8,15:36
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Phones,54.368,4,0.2,4.0776,6.9,13:39
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Envelopes,33.96,2,0,16.98,7.3,12:51
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Appliances,826.11,3,0,322.1829,6.9,16:26
Standard Class,Consumer,United States,Farmington,New Mexico,87401,West,Furniture,Furnishings,545.85,9,0,114.6285,5.7,14:52
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Furniture,Tables,145.98,2,0.5,-99.2664,6.4,20:56
Second Class,Consumer,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,35.808,4,0.2,12.5328,9.6,12:42
Standard Class,Consumer,United States,Tampa,Florida,33614,South,Furniture,Furnishings,7.904,2,0.2,2.1736,6.8,10:43
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,345,5,0,86.25,9,13:38
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Furniture,Tables,174.286,2,0.3,-19.9184,9.6,14:11
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Appliances,662.84,4,0,172.3384,7.7,11:02
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Accessories,95.1,5,0,30.432,7,12:27
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Envelopes,26.88,6,0,12.9024,6.5,11:57
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Technology,Phones,257.98,2,0,74.8142,8.1,12:26
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Envelopes,17.48,2,0,8.2156,4.3,12:50
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,492.835,5,0.3,-14.081,6.5,20:10
Second Class,Consumer,United States,North Charleston,South Carolina,29406,South,Office Supplies,Storage,269.49,3,0,5.3898,9.5,19:28
Standard Class,Home Office,United States,San Jose,California,95123,West,Office Supplies,Binders,29.12,5,0.2,9.828,9.7,14:16
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,18.75,5,0,9,9.5,16:39
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,119.7,6,0,31.122,8.9,19:34
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,9.144,3,0.2,3.0861,6.5,14:07
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,57.06,3,0,18.2592,5.3,15:21
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,71.6,8,0,13.604,9.6,16:24
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,107.44,8,0,27.9344,6.7,10:03
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Labels,7.31,1,0,3.4357,7.6,20:28
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,59.1,6,0,22.458,4.8,15:51
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,46.53,3,0,12.0978,5.5,17:05
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Appliances,97.84,2,0,25.4384,4.7,19:07
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,29.97,3,0,13.4865,6.9,11:43
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,98.352,3,0.2,34.4232,4.5,13:23
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,83.92,5,0.2,29.372,6.2,10:15
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,14.624,2,0.2,5.1184,7.6,10:12
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Phones,136.99,1,0,36.9873,7.9,18:06
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,3.15,1,0,1.512,4.5,11:46
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,9.11,1,0,4.0995,8.7,15:16
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Storage,571.44,4,0,165.7176,6.1,10:58
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Paper,32.4,5,0,15.552,6.4,17:25
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Storage,16.91,1,0,4.5657,9.1,18:45
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Furnishings,14.272,8,0.2,4.2816,7.1,14:50
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Furniture,Bookcases,451.136,4,0.2,-67.6704,7.7,17:43
Standard Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Appliances,64.864,4,0.2,6.4864,4.5,16:26
First Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Chairs,217.584,2,0.2,-29.9178,7.2,19:13
First Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Accessories,82.95,5,0,29.0325,8.4,18:31
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Labels,87.71,7,0,41.2237,5.4,20:31
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,1101.48,4,0,429.5772,9.7,14:38
Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Tables,1322.352,3,0.2,-99.1764,5.5,13:04
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,5.46,3,0,1.4742,4.6,18:02
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Supplies,11.184,1,0.2,0.8388,6.6,17:09
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,153.584,2,0.2,-32.6366,6.3,10:04
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Storage,1003.62,6,0,0,4.2,20:17
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Technology,Phones,35.168,4,0.2,11.4296,4.4,20:59
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Furniture,Tables,1137.75,5,0,250.305,6.7,9:47
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Binders,99.68,5,0.2,32.396,6.7,11:15
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,5.56,2,0,1.4456,8.4,16:50
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,85.52,2,0,22.2352,6.2,17:49
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,9.84,3,0,2.6568,5,9:27
Second Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Paper,20.04,3,0,9.6192,6,20:06
Second Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,631.96,4,0,303.3408,7,12:11
Second Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,23.92,4,0,10.764,6.6,17:37
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Paper,90.24,6,0,41.5104,7.3,9:54
Standard Class,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,4548.81,7,0,1228.1787,8.3,20:29
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Tables,300.93,5,0.3,-34.392,4.3,20:09
Second Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,719.96,5,0.2,53.997,9.8,20:14
Standard Class,Consumer,United States,Mishawaka,Indiana,46544,Central,Furniture,Chairs,647.84,8,0,32.392,8.2,16:48
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Storage,64.17,3,0,18.6093,7.2,15:50
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Envelopes,124.46,2,0,58.4962,8.7,10:10
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Binders,9.584,1,0.2,3.3544,8.4,13:57
First Class,Consumer,United States,Miami,Florida,33178,South,Office Supplies,Envelopes,37.608,3,0.2,12.6927,7.1,11:53
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Paper,12.224,2,0.2,4.4312,5.5,12:54
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,2.304,4,0.8,-3.5712,8.5,12:39
First Class,Corporate,United States,Skokie,Illinois,60076,Central,Office Supplies,Binders,9.36,4,0.8,-16.38,6.2,13:15
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,7.38,2,0,3.4686,8.9,19:13
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,53.72,4,0,15.0416,9.6,9:56
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Supplies,8187.65,5,0,327.506,5.4,12:20
Second Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,77.92,8,0,34.2848,9.1,17:52
Same Day,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,32.784,4,0.8,-85.2384,9,13:56
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Phones,196.776,3,0.2,14.7582,6.3,13:00
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Accessories,479.94,6,0,52.7934,9.5,13:38
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Storage,1117.92,4,0,55.896,9.8,10:30
First Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,106.5,6,0,41.535,6.7,16:13
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,45.66,5,0.7,-33.484,7.7,12:24
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Accessories,95.968,4,0.2,1.1996,7,15:39
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,47.992,2,0.3,-2.0568,5.1,17:33
Standard Class,Consumer,United States,Bowling Green,Ohio,43402,East,Office Supplies,Storage,264.32,2,0.2,19.824,6.2,15:53
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Envelopes,604.656,9,0.2,204.0714,6.1,9:46
Standard Class,Corporate,United States,Westfield,New Jersey,7090,East,Furniture,Furnishings,129.93,3,0,12.993,9.3,16:09
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Labels,20.16,7,0,9.8784,7.6,18:30
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Labels,29.46,6,0,14.4354,8.2,13:09
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Appliances,868.59,3,0,251.8911,8.5,17:19
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Paper,12.96,2,0,6.2208,9.8,13:35
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Technology,Phones,5.5,1,0,1.375,8.7,10:56
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Binders,121.6,4,0,55.936,9.7,13:18
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Art,42.048,9,0.2,5.256,4.3,17:18
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,25.488,2,0.2,4.4604,7.7,15:53
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,6.9,3,0.8,-12.075,7.3,9:39
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,9.648,6,0.8,-16.884,5.9,9:50
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Paper,7.968,2,0.2,2.8884,5,13:08
Standard Class,Home Office,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Paper,10.368,2,0.2,3.6288,8,16:39
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Paper,114.2,5,0,52.532,7.1,11:56
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Binders,17.96,4,0,8.2616,9,13:59
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Office Supplies,Fasteners,12.67,7,0,4.5612,6.7,14:55
Standard Class,Corporate,United States,Little Rock,Arkansas,72209,South,Technology,Accessories,339.96,4,0,122.3856,6.1,10:29
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,1801.632,6,0.2,-337.806,9.3,18:27
First Class,Corporate,United States,La Quinta,California,92253,West,Technology,Accessories,46.32,4,0,18.0648,7,9:40
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Furniture,Chairs,181.986,2,0.3,-54.5958,7.2,15:03
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,431.976,4,0.4,-100.7944,8.2,12:19
Second Class,Consumer,United States,Cleveland,Ohio,44105,East,Technology,Phones,155.37,1,0.4,-36.253,8.4,12:27
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,1348.704,6,0.2,-219.1644,6.2,20:40
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,700.152,3,0.2,78.7671,7.4,15:30
Standard Class,Corporate,United States,Scottsdale,Arizona,85254,West,Furniture,Furnishings,111.888,7,0.2,22.3776,5,20:32
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,143.952,3,0.2,14.3952,6.9,13:32
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Furniture,Bookcases,173.94,3,0,13.9152,4.9,13:07
Standard Class,Home Office,United States,Malden,Massachusetts,2148,East,Office Supplies,Labels,14.76,4,0,6.9372,5.1,10:17
Standard Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Storage,205.92,4,0,2.0592,9.1,15:07
Standard Class,Consumer,United States,San Jose,California,95123,West,Furniture,Bookcases,102.833,1,0.15,-6.049,7.1,20:06
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Art,2.304,1,0.2,0.2592,5,20:33
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Technology,Phones,1879.96,5,0.2,211.4955,5.5,16:30
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Paper,313.024,8,0.2,105.6456,9.2,11:51
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Labels,5.04,2,0.2,1.764,4.9,20:53
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,821.88,6,0,213.6888,8.9,15:10
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,21.96,2,0,10.7604,6,12:34
Standard Class,Home Office,United States,Columbia,South Carolina,29203,South,Office Supplies,Paper,25.92,4,0,12.4416,4.2,11:27
Standard Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Phones,705.544,7,0.2,70.5544,7.3,15:29
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,50,2,0,12,6.5,16:31
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Furniture,Furnishings,51.712,8,0.6,-32.32,8.9,10:38
Standard Class,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Appliances,6.992,2,0.2,0.5244,9.7,18:32
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Bookcases,1406.86,7,0,140.686,8.6,13:22
Standard Class,Consumer,United States,Orem,Utah,84057,West,Office Supplies,Labels,15.75,5,0,7.56,6.9,10:18
Standard Class,Consumer,United States,Orem,Utah,84057,West,Office Supplies,Storage,323.1,2,0,61.389,7.7,10:39
Standard Class,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Labels,9.216,4,0.2,3.3408,9.5,15:57
Standard Class,Consumer,United States,Nashville,Tennessee,37211,South,Office Supplies,Paper,10.368,2,0.2,3.6288,4.5,17:15
Second Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,15.02,1,0,2.7036,5.6,16:23
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,33.82,2,0,9.1314,8.2,10:26
First Class,Consumer,United States,Bowling Green,Kentucky,42104,South,Technology,Accessories,71,4,0,27.69,7.3,20:37
Second Class,Consumer,United States,Bellingham,Washington,98226,West,Office Supplies,Binders,25.12,5,0.2,7.85,4.4,16:06
Second Class,Consumer,United States,Bellingham,Washington,98226,West,Furniture,Tables,2665.62,9,0,239.9058,5.7,18:55
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Storage,478.08,8,0,133.8624,5,11:09
Same Day,Corporate,United States,Newark,Ohio,43055,East,Technology,Phones,164.388,2,0.4,-35.6174,9,12:41
Same Day,Corporate,United States,Newark,Ohio,43055,East,Office Supplies,Art,13.248,4,0.2,3.6432,6.3,9:02
Standard Class,Home Office,United States,Woodstock,Illinois,60098,Central,Office Supplies,Art,2.912,2,0.2,0.91,9.4,18:46
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Technology,Accessories,1399.944,7,0.2,52.4979,7.7,15:37
Standard Class,Home Office,United States,Lafayette,Indiana,47905,Central,Furniture,Furnishings,526.45,5,0,31.587,5.5,10:27
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Envelopes,16.23,3,0,7.9527,4.1,11:15
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,319.9,5,0,156.751,7.6,11:04
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Envelopes,11.36,2,0,5.3392,8.6,20:08
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Appliances,675.12,3,0,290.3016,8.3,9:02
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,Furnishings,62.82,3,0,30.7818,8.1,10:09
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,Storage,489.92,8,0,0,8.6,19:43
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,Paper,19.44,3,0,9.3312,6.3,20:06
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Office Supplies,Paper,16.68,2,0,8.34,5.8,20:24
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Technology,Phones,155.35,13,0,0,6.2,15:58
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Furniture,Furnishings,12.42,3,0,4.4712,7.7,14:53
Standard Class,Home Office,United States,Alexandria,Virginia,22304,South,Technology,Phones,187.98,2,0,52.6344,8.1,18:22
Standard Class,Corporate,United States,Haltom City,Texas,76117,Central,Office Supplies,Envelopes,6.608,2,0.2,2.1476,7.3,18:03
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,248.57,7,0,67.1139,8.4,14:42
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,22.23,1,0,9.7812,8,16:33
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Storage,5.98,1,0,1.0166,9.5,18:24
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Technology,Phones,246.168,3,0.2,21.5397,7,14:23
Standard Class,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,Furnishings,14.136,2,0.6,-7.7748,9.8,19:28
Standard Class,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,Tables,601.47,3,0.5,-300.735,9.2,14:24
Second Class,Corporate,United States,Summerville,South Carolina,29483,South,Technology,Phones,79.1,2,0,39.55,7.7,19:23
Second Class,Corporate,United States,Summerville,South Carolina,29483,South,Office Supplies,Binders,327.84,8,0,157.3632,5.3,16:17
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Envelopes,180.96,2,0,81.432,4.4,19:10
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Binders,914.97,3,0,411.7365,4.3,19:03
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Technology,Phones,587.97,3,0,158.7519,9.4,18:54
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Storage,530.34,2,0,95.4612,9.8,20:13
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,14.94,3,0,7.3206,4.8,12:04
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Appliances,121.94,2,0,35.3626,5.3,11:34
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Supplies,122.71,7,0,36.813,8.7,18:35
Same Day,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,14.94,3,0,7.0218,9.5,14:36
Same Day,Consumer,United States,New York City,New York,10035,East,Technology,Machines,1349.85,3,0,364.4595,5.3,18:31
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,Bookcases,136.784,1,0.2,5.1294,9.2,16:21
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,61.12,4,0,20.7808,9.6,11:36
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,1.167,1,0.7,-0.8558,6.4,17:16
Standard Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Art,16.99,1,0,4.9271,4.5,13:37
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,Accessories,24.672,3,0.2,0,6.9,13:24
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,2.52,1,0.2,0.882,7.8,16:25
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Tables,1218.735,5,0.3,-121.8735,4.5,10:23
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,5.904,2,0.2,1.9926,8.6,16:25
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Paper,15.696,3,0.2,5.1012,5.2,15:46
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,6.096,3,0.6,-3.9624,6.4,15:02
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Furniture,Chairs,41.568,2,0.2,2.598,5.2,12:15
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Chairs,230.28,3,0.2,23.028,8.9,20:19
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Binders,18.288,6,0.2,5.715,6.2,11:13
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,5.78,2,0,2.7166,6.7,17:47
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,121.68,13,0.2,38.025,7.2,11:54
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Art,4.17,3,0,1.0842,9,20:59
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Technology,Phones,67.04,4,0.2,6.704,4.2,20:01
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Storage,37.32,3,0,10.4496,4.2,15:31
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Labels,18.45,5,0,8.6715,6.9,14:35
Second Class,Corporate,United States,Saint Louis,Missouri,63116,Central,Office Supplies,Paper,25.92,4,0,12.4416,4.4,19:25
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Copiers,11199.968,4,0.2,3919.9888,4,9:52
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,2399.6,8,0,647.892,8.5,14:11
First Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Envelopes,63.9,5,0,28.755,9.2,18:18
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,52.99,1,0,0.5299,9.8,16:17
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,Accessories,60.864,4,0.2,9.1296,4.9,12:29
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,Machines,652.995,7,0.7,-935.9595,4.4,12:15
First Class,Corporate,United States,Springfield,Ohio,45503,East,Office Supplies,Binders,11.22,10,0.7,-7.48,6.8,9:38
